"Severity","Category","CheckId","Title","Description","Remediation"
"Pass","Audit","UAC-001","UAC Enabled","User Account Control is enabled.","No action required."
"Pass","Audit","FW-Domain","Firewall Profile: Domain","Firewall profile is enabled.","No action required."
"Pass","Audit","FW-Private","Firewall Profile: Private","Firewall profile is enabled.","No action required."
"Pass","Audit","FW-Public","Firewall Profile: Public","Firewall profile is enabled.","No action required."
"Pass","Audit","ADM-001","Local Administrators Review","Administrators group contains 2 account(s).","No action required."
"Warning","Audit","NET-PORT-445","High-Risk Port Open: 445","Port 445 is listening by process System (PID 4). Executable: . Signature: N/A. (Matched policy allowlist; severity downgraded.)","Restrict access with firewall rules or disable unnecessary service. Verify the owning process and binary signature."
"Critical","Audit","NET-PORT-135","High-Risk Port Open: 135","Port 135 is listening by process svchost (PID 1500). Executable: C:\WINDOWS\system32\svchost.exe. Signature: Valid.","Restrict access with firewall rules or disable unnecessary service. Verify the owning process and binary signature."
"Critical","Audit","NET-PORT-139","High-Risk Port Open: 139","Port 139 is listening by process System (PID 4). Executable: . Signature: N/A.","Restrict access with firewall rules or disable unnecessary service. Verify the owning process and binary signature."
"Critical","Audit","NET-PORT-135","High-Risk Port Open: 135","Port 135 is listening by process svchost (PID 1500). Executable: C:\WINDOWS\system32\svchost.exe. Signature: Valid.","Restrict access with firewall rules or disable unnecessary service. Verify the owning process and binary signature."
"Pass","Audit","SRV-001","Auto-Start Services Path Review","No suspicious auto-start service paths detected. (Quick mode: analyzed first 120 auto-start service(s).)","No action required."
"Pass","Hunter","HUNT-STARTUP-001","Startup File Hashing","No executable files found in startup folders.","No action required."
"Critical","Hunter","HUNT-TASK-001","Suspicious Scheduled Tasks Found","3 scheduled task action(s) execute from user-writable paths.","Disable unknown tasks and verify binary source/trust."
"Info","Hunter","HUNT-CONN-001","Active Network Connections Snapshot","Captured a snapshot of active TCP connections (limited to 50 rows).","Review unknown remote endpoints and investigate corresponding process IDs."
